title,vote_average,vote_count,release_date,revenue,runtime,adult,budget,original_language,original_title,popularity,genres,production_companies,production_countries,spoken_languages,keywords
Hope Springs,6.251,720,2012-08-07,114281051,100,False,30000000,en,Hope Springs,14.673,"Drama, Comedy, Romance","Columbia Pictures, Mandate Pictures, Escape Artists, Management 360, Metro-Goldwyn-Mayer, Mandate International",United States of America,English,"maine, psychiatrist, marriage counselling"
The Informer,6.513,720,2019-08-30,2927708,109,False,60000000,en,The Informer,13.219,"Drama, Crime, Thriller","Thunder Road, The Fyzz, Maddem Films","United Kingdom, United States of America","English, Polish, Spanish","prison, new york city, based on novel or book, gangster, organized crime, ex-con, undercover operation, police informant, polish mafia"
Happiness,7.476,718,1998-10-16,2807390,139,False,3000000,en,Happiness,14.35,"Comedy, Drama","Good Machine, Killer Films",United States of America,"English, Russian","pedophilia, secret love, rape, sibling relationship, lover (female), partnership, stalker, sister, relationship, pedophile, parenting, extramarital affair, family conflict, unhappiness, obscene telephone call"
The Flowers of War,7.482,718,2011-12-15,95311434,146,False,94000000,zh,金陵十三釵,17.004,"Drama, History, War","New Picture Company, Beijing New Picture Film Co. Ltd., EDKO Film","China, Hong Kong","Mandarin, Japanese, English","rape, based on novel or book, brothel, based on true story, atrocity, prostitution, forced prostitution, nanking massacre china 1937, japanese occupation of china"
Book Club,6.238,718,2018-05-18,78720293,104,False,10000000,en,Book Club,14.475,"Romance, Comedy, Drama","June Pictures, Apartment Story",United States of America,"English, Spanish, Hungarian","new love, judge, widow, female friendship, book club, chef, get together, former lovers, older women"
The Soloist,6.686,717,2009-04-24,38332994,109,False,60000000,en,The Soloist,14.748,"Drama, Music","Working Title Films, DreamWorks Pictures, Universal Pictures, StudioCanal, Participant, Krasnoff / Foster Entertainment","France, United States of America, United Kingdom",English,"newspaper, violin, cello, los angeles, california"
Max Steel,5.628,716,2016-10-14,6272403,92,False,10000000,en,Max Steel,16.668,"Action, Adventure, Science Fiction","Dolphin Entertainment, Ingenious Media, Mattel Playground Productions","United Kingdom, United States of America",English,superhero
The Fan,5.951,715,1996-08-15,18626419,116,False,55000000,en,The Fan,12.679,"Thriller, Action","TriStar Pictures, Mandalay Entertainment, Scott Free Productions","United Kingdom, United States of America",English,"sports, luck, child custody, baseball pitcher, baseball fan, psychotic fan, sports agent, driving range, steam room"
The Last Voyage of the Demeter,7.318,715,2023-08-09,21576744,119,False,45000000,en,The Last Voyage of the Demeter,307.895,"Thriller, Horror","Phoenix Pictures, DreamWorks Pictures, Wise Owl Media, Reliance Entertainment, Studio Babelsberg, StoryWorks Productions","Germany, India, United Kingdom, United States of America","English, Russian","ship, based on novel or book, sacrifice, vampire, supernatural, gothic horror, dracula, 1890s, excited"
Voyagers,6.0,715,2021-04-08,4298184,108,False,20000000,en,Voyagers,21.498,"Science Fiction, Thriller","Nota Bene Film Group, Thunder Road","Czech Republic, Romania, United Kingdom, United States of America",English,"space travel, sexual tension, space, sexual behavior"
Free Birds,5.862,714,2013-10-30,110000000,91,False,55000000,en,Free Birds,17.418,"Animation, Comedy, Family","Reel FX Creative Studios, Relativity Media",United States of America,English,"holiday, freedom, thanksgiving, duringcreditsstinger"
Peter Rabbit 2: The Runaway,7.171,714,2021-03-25,153000000,93,False,45000000,en,Peter Rabbit 2: The Runaway,27.237,"Family, Comedy, Adventure, Animation, Fantasy","Columbia Pictures, Olive Bridge Entertainment, Animal Logic, MRC, 2.0 Entertainment","Australia, United States of America",English,peter rabbit
Summer of 85,7.408,714,2020-07-14,3600000,101,False,6900000,fr,Été 85,12.932,"Romance, Drama","Mandarin Production, SCOPE Pictures",France,"French, English","based on novel or book, sailing, normandy, france, motorcycle, teenage boy, lgbt, lgbt teen, summer job, seaside town, 1980s, teenage protagonist, gay theme, boys' love (bl)"
A Bridge Too Far,7.222,712,1977-06-15,50750000,175,False,22000000,en,A Bridge Too Far,21.901,"Drama, History, War","United Artists, Joseph E. Levine Productions","United Kingdom, United States of America","English, Dutch, Polish, German, Latin","mission, army, allies, world war ii, netherlands, bridge, tank, based on true story, operation market garden, soldier, arnhem, military operation, 1940s, historical battle"
The Big Year,5.988,712,2011-10-13,8179416,100,False,41000000,en,The Big Year,13.172,Comedy,"Ingenious Media, Fox 2000 Pictures, Deuce Three Productions, Sunswept Entertainment, Dune Entertainment, 20th Century Fox, Red Hour",United States of America,English,"helicopter, airplane, based on novel or book, honeymoon, ornithology, birding, birdwatching, duringcreditsstinger"
Message in a Bottle,6.202,712,1999-02-22,118880016,131,False,80000000,en,Message in a Bottle,15.047,"Romance, Drama","Tiger Productions, Bel Air Entertainment, Di Novi Pictures",United States of America,English,"sailboat, anonymous letter, sailing, love letter, bottle, cape cod, message in a bottle"
Blood Work,6.156,712,2002-08-09,31794718,110,False,50000000,en,Blood Work,14.042,"Thriller, Crime","Malpaso Productions, Warner Bros. Pictures",United States of America,"English, Spanish","based on novel or book, heart, police, houseboat, investigation, ex-cop, murder, serial killer, heart transplant, armed robbery, blood donor, good versus evil"
Duplicity,5.893,711,2009-03-18,78176181,125,False,60000000,en,Duplicity,15.255,"Romance, Comedy, Crime","Medienproduktion Poseidon Filmgesellschaft, Universal Pictures, Relativity Media, Laura Bickford Productions","Germany, United States of America","German, Russian, Spanish, English","spy, fbi, dubai, near east"
Diary of the Dead,5.5,711,2007-05-26,5540941,95,False,2000000,en,Diary of the Dead,13.5,Horror,"Artfire Films, Romero-Grunwald Productions","Canada, United States of America",English,"zombie, found footage"
History of the World: Part I,6.782,710,1981-06-12,31672907,92,False,11000000,en,History of the World: Part I,18.489,Comedy,"Brooksfilms, 20th Century Fox",United States of America,"French, Latin, English","moses, roman empire, inquisition, french revolution, musical, stone age, anthology, prehistory, cavemen, 18th century, louis xvi, peplum, timeline, nero, 15th century, spanish inquisition"
Raw Deal,5.805,709,1986-06-06,16209459,106,False,8500000,en,Raw Deal,20.093,"Action, Crime, Thriller","DEG, Famous Films (II), International Film Corporation","Netherlands, United States of America",English,"chicago, illinois, small town, showdown, undercover, gangster, fbi, gang war, crime boss, mafia boss, vigilante, organized crime, shootout, one man army, one against many, bomb attack, 1980s, action hero"
High Crimes,6.328,708,2002-04-05,63781810,115,False,42000000,en,High Crimes,19.076,"Drama, Mystery, Thriller, Crime","Monarch Pictures, Epsilon Motion Pictures, New Regency Pictures, Manifest Film Company, 20th Century Fox",United States of America,"English, Spanish","based on novel or book, court, witness, trial, love, murder, defense, lawyer, justice, u.s. marine, arrested, classified, legal thriller"
The Hunted,6.19,707,2003-03-11,34234008,94,False,55000000,en,The Hunted,15.316,"Drama, Action, Thriller, Crime","Alphaville Films, Lakeshore Entertainment",United States of America,English,"hunter, fbi, knife, balkan war, woods, slaughter, survivalist, maniac, special forces, killing spree, combat, ex soldier, dark past, manhunt"
Missing,7.531,707,2023-01-19,45100756,111,False,7000000,en,Missing,27.68,"Thriller, Mystery","Stage 6 Films, Search Party, Bazelevs Entertainment, Screen Gems",United States of America,"English, Spanish","kidnapping, fbi, fake identity, detective story, sequel, teenage girl, los angeles, california, missing person, found footage, mysterious, abuse, generation z, amateur sleuth, complex, mother daughter relationship, screenlife, colombia, direct, empathetic"
The Player,7.198,706,1992-04-03,21706101,124,False,8000000,en,The Player,13.27,"Mystery, Drama, Thriller, Comedy","Fine Line Features, Avenue Pictures, Spelling Entertainment, Addis Wechsler Pictures",United States of America,English,"based on novel or book, homicide, movie business, blackmail, screenwriter, hollywood, death threat, movie mogul, movie studio, studio executive"
Ladder 49,6.404,706,2004-10-01,74541707,115,False,60000000,en,Ladder 49,18.585,"Drama, Action, Thriller","Beacon Communications, Touchstone Pictures, Beacon Pictures, Casey Silver Productions, Fantail Films Inc.",United States of America,English,"rescue, hero, fire, disaster, firefighting, ledge, practical joke, firefighter"
Exorcist: The Beginning,5.369,706,2004-08-20,78000586,114,False,80000000,en,Exorcist: The Beginning,22.696,"Horror, Mystery, Thriller","Dominion Productions, Morgan Creek",United States of America,English,"obsession, religion and supernatural, exorcism, remake, priest, paganism, devil, archaeologist, catholic church, demonic possession, relic, crisis of faith, archaeological dig, supernatural horror"
The Man with the Iron Heart,6.552,705,2017-05-25,4412639,120,False,32679734,en,The Man with the Iron Heart,22.945,"War, Action, History, Thriller","Red Crown Productions, Nexus Factory, Légende Films, Cutting Edge Group, Echo Lake Entertainment, FilmNation Entertainment, Lantern Entertainment, The Weinstein Company, France 2 Cinéma, Carmel Productions, C2M Productions, HHHH, Canal+, Ciné+, France Télévisions, Taxshelter. be, BNP Paribas Fortis, Mars Films","Belgium, Czech Republic, France, United Kingdom, United States of America","English, German","assassination, based on novel or book, nazi, world war ii, operation anthropoid, czech history, assassination of reinhard heydrich (1942)"
Boogeyman,4.978,705,2005-02-04,67192859,89,False,20000000,en,Boogeyman,16.356,"Thriller, Horror, Drama, Mystery","Pacific Renaissance Pictures, Screen Gems, Ghost House Pictures, Senator International",United States of America,English,"nightmare, hallucination, childhood trauma, break-up, hometown, psychotherapy, nightmare becomes reality"
Last Night,6.122,704,2010-11-05,7644937,93,False,7000000,en,Last Night,13.031,"Drama, Romance","Gaumont, Nick Wechsler Productions, Star Entertainment, Westbourne Films","United States of America, France",English,"infidelity, new york city, ex-girlfriend, loyalty, marriage, business, writer, trust, attraction, boyfriend, temptation, woman director"
Heaven Is for Real,6.707,704,2014-04-16,101332962,99,False,12000000,en,Heaven Is for Real,39.57,Drama,"TriStar Pictures, Screen Gems, Roth Films","Canada, United States of America",English,"based on novel or book, faith, heaven, loss, based on true story, religion, near-death experience"
The Sentinel,5.999,704,2006-04-19,78810595,108,False,60000000,en,The Sentinel,21.274,"Action, Thriller, Crime","Sentinel Productions, Regency Enterprises, Epsilon Motion Pictures, Furthur Films, New Regency Pictures, Dune Entertainment, Major Studio Partners, 20th Century Fox",United States of America,English,"usa president, agent"
Laura,7.653,704,1944-10-11,2000000,88,False,1020000,en,Laura,14.557,"Drama, Mystery",20th Century Fox,United States of America,English,"jealousy, obsession, advertising expert, shotgun, detective, investigation, mistaken identity, romance, film noir, murder, whodunit, black and white, investigator, intrigue, portrait, police investigation, murder mystery, murder suspect, 1940s, other woman, suspense"
The Craft: Legacy,6.193,703,2020-10-28,2300000,94,False,18000000,en,The Craft: Legacy,23.708,"Horror, Drama, Fantasy","Blumhouse Productions, Red Wagon Entertainment, Columbia Pictures",United States of America,English,"witch, magic, black magic, teen witch, woman director, karma, love spell"
To Die For,6.579,703,1995-09-22,21284514,106,False,20000000,en,To Die For,14.447,"Drama, Comedy, Crime","The Rank Organisation, Columbia Pictures","Canada, United Kingdom, United States of America",English,"adultery, based on novel or book, winter, obsession, new hampshire, mockumentary, narcissistic personality disorder"
One Missed Call,5.42,702,2008-01-04,45847751,87,False,20000000,en,One Missed Call,11.576,"Horror, Mystery, Thriller","Intermedia Films, Alcon Entertainment, KADOKAWA, Equity Pictures Medienfonds GmbH & Co. KG IV, Warner Bros. Pictures","Germany, Japan, United Kingdom, United States of America",English,"dying and death, friendship, police, candy, loss of loved one, answering machine, delusion, victim, sms, asthma, remake, cowardliness, train"
Fair Game,6.467,702,2010-05-20,25806953,108,False,22000000,en,Fair Game,12.832,"Drama, Thriller","River Road Entertainment, Participant, Fair Game Productions, Dillywood, Hypnotic, Weed Road Pictures, Zucker Productions, Imagenation Abu Dhabi FZ","United States of America, United Arab Emirates",English,"cia, politician, iraq, nuclear scientist, duringcreditsstinger"
Gran Turismo,8.068,702,2023-08-09,114800000,135,False,60000000,en,Gran Turismo,2680.593,"Action, Drama, Adventure","PlayStation Productions, 2.0 Entertainment, Columbia Pictures",United States of America,"English, German, Japanese","based on true story, racing, based on video game, duringcreditsstinger, exhilarated, joyful"
The East,6.539,701,2013-05-31,2401510,116,False,6500000,en,The East,22.079,"Drama, Thriller",Scott Free Productions,"United Kingdom, United States of America",English,"secret organization, murder, eco terrorism, environmentalism"
12 Rounds,5.887,701,2009-03-19,17280326,108,False,22000000,en,12 Rounds,22.703,"Action, Thriller, Crime","The Mark Gordon Company, Midnight Sun Pictures, Fox Atomic, WWE Studios",United States of America,English,"police, cop, revenge, cat and mouse, family"
Sling Blade,7.537,700,1996-08-30,34100000,135,False,1200000,en,Sling Blade,19.723,Drama,"Miramax, Shooting Gallery",United States of America,English,"arkansas, repair shop, southern, death threat, religious art, father figure, intellectual disability"
Bad Santa 2,5.351,700,2016-11-23,24079268,92,False,26000000,en,Bad Santa 2,13.003,"Comedy, Crime, Drama, Mystery","Ingenious Media, Broad Green Pictures, Miramax",United States of America,English,"elves, holiday, santa claus, villain, shopping mall, mad, masturbation, pervert, mall santa, christmas, anti christmas"
Anna and the King,6.748,700,1999-12-16,113996937,148,False,75000000,en,Anna and the King,14.761,"Drama, Romance, History","Fox 2000 Pictures, Lawrence Bender Productions",United States of America,"Mandarin, Spanish, English, Thai","daughter, death penalty, east india company, civil war, parent child relationship, traitor, thailand, palace, burma, based on true story, teacher, royalty, battle, denunciation, 19th century, siam, victorian era"
Escape from Planet Earth,5.738,700,2013-02-14,74597643,89,False,40000000,en,Escape from Planet Earth,22.704,"Animation, Comedy, Adventure, Family, Science Fiction","Rainmaker Studios, Mainframe Entertainment, The Weinstein Company","Canada, United States of America",English,"rescue, spacecraft, escape, alien, planet, astronaut"
The Guns of Navarone,7.308,699,1961-04-27,28900000,158,False,6000000,en,The Guns of Navarone,21.499,"War, Action, Adventure","Highroad Productions, Columbia Pictures","United Kingdom, United States of America","German, Greek, English","army, based on novel or book, fort, allies, world war ii"
Suspicion,7.089,699,1941-11-14,4500000,99,False,1103000,en,Suspicion,13.484,"Mystery, Romance, Thriller",RKO Radio Pictures,United States of America,English,"poison, married couple, telegram, investigation, honeymoon, marriage, kiss, money, murderer, loan"
Ju-on: The Grudge,6.685,699,2002-10-18,3657876,92,False,3500000,ja,呪怨,24.948,Horror,"Oz Company, Xanadeux Company, Pioneer LDC, Nikkatsu Corporation",Japan,Japanese,"dying and death, japan, primal fear, panic, restart, supernatural, egomania, remake"
Kill List,6.191,699,2011-09-02,450275,95,False,500000,en,Kill List,13.549,"Horror, Thriller, Crime","Warp X, Rook Films, Film4 Productions",United Kingdom,"Swedish, English","hotel, husband wife relationship, post-traumatic stress disorder (ptsd), hitman, cult, infection, forest, priest, murderer, brutality, bonfire, ceremony, ex soldier, ritual sacrifice, contract killer, video tape, folk horror, sheffield, england"
Clouds of Sils Maria,6.641,698,2014-08-20,1851517,124,False,6600000,en,Clouds of Sils Maria,8.914,Drama,"CAB Productions, Pallas Film, ARTE France Cinéma, Vortex Sutra, ZDF/Arte, Orange Studio, RTS, SRG SSR, CG Cinéma, Ezekiel Film Production, Les Films du Losange","France, Germany, Switzerland, United States of America","German, English, French","suicide, mountain, aging, divorce, alps mountains, personal assistant, gender ideals"
Pee-wee's Big Adventure,6.42,698,1985-07-26,40940662,91,False,6000000,en,Pee-wee's Big Adventure,20.97,"Comedy, Adventure","Aspen Film Society, Warner Bros. Pictures",United States of America,English,"prenzlauer berg, dark comedy, bicycle, tour guide, man child, stolen bicycle, alamo, truck driver, road movie, bull riding, san antonio, texas"
The Vatican Tapes,5.303,697,2015-07-23,1784763,91,False,13000000,en,The Vatican Tapes,28.13,"Thriller, Horror","Lionsgate, Lakeshore Entertainment, H2F Entertainment, Pantelion Films",United States of America,"English, German","exorcism, education, anti-christ, exorcist, wicked priest, young girls, government personal"
Bad Company,5.5,697,2002-06-07,65977295,116,False,70000000,en,Bad Company,14.354,"Action, Adventure, Comedy, Thriller","Stillking Films, Jerry Bruckheimer Films, Touchstone Pictures",United States of America,English,"assassin, cia, undercover agent, ambush, espionage, hustler, nightclub, decoy, mistaken identity, deception, twin brother, hidden camera, betrayal, shootout, terrorism, foot chase, silencer, surveillance, agent, impersonation, doppelgänger, langley virginia, odd couple, amused"
Bāhubali: The Beginning,7.554,696,2015-07-10,90747520,158,False,25130430,te,బాహుబలి:ద బిగినింగ్,20.925,"Action, Adventure, Drama, Fantasy",Arka Media Works,India,"Sanskrit, Telugu","kingdom, medieval india, ancient india, bilingual"
All Quiet on the Western Front,7.756,696,1930-04-29,3270000,134,False,1448864,en,All Quiet on the Western Front,16.367,"Drama, War",Universal Pictures,United States of America,"English, French, German, Latin","friendship, army, based on novel or book, germany, disillusion, world war i, steel helmet, patriotism, boot camp, battlefield, atrocity, black and white, soldier, combat, warfare, death, pre-code, anti war, mud, trenches, young soldier, battlefield trauma"
Bleed for This,6.813,696,2016-11-04,6174491,116,False,6000000,en,Bleed for This,9.515,Drama,"Sikelia Productions, Younger Than You, Verdi Productions, Bruce Cohen Productions, Universal Pictures",United States of America,"English, French","underdog, sports, fighter, boxer, comeback, biography, rhode island, come back"
"The Adventures of Priscilla, Queen of the Desert",7.226,696,1994-05-31,11224491,104,False,2000000,en,"The Adventures of Priscilla, Queen of the Desert",14.846,"Drama, Comedy","PolyGram Filmed Entertainment, Latent Image Productions Pty. Ltd., Specific Films","Australia, United States of America",English,"australia, van, homophobia, drag queen, musical, transsexual, lgbt, australian aboriginal, australian outback, alice springs, gay theme, transgender"
Death on the Nile,7.126,696,1978-09-29,14560084,140,False,7920000,en,Death on the Nile,18.563,Mystery,"Mersham Productions, EMI Films, Agatha Christie Limited",United Kingdom,"German, English, French, Arabic","egypt, based on novel or book, paddleboat, pyramid, cruise, nile, sphinx, murder, whodunit, cobra, shipboard, murder mystery, 1930s"
The First Wives Club,6.7,695,1996-09-20,116400000,102,False,26000000,en,The First Wives Club,15.685,Comedy,Scott Rudin Productions,United States of America,English,"based on novel or book, revenge, divorce, divorced woman, reunited friends, lgbt interest"
The Wind That Shakes the Barley,7.362,695,2006-03-23,22889018,127,False,6500000,en,The Wind That Shakes the Barley,13.024,"Drama, War","Sixteen Films, Matador Pictures, Regent Capital, UK Film Council, Fís Éireann/Screen Ireland, Element Films, EMC Produktion, Tornasol Films, Diaphana Films, TV3 Television Network Ireland, Filmstiftung Nordrhein-Westfalen, Pathé, BIM Productions, Cinéart, Filmcoopi Zürich, MEDIA Programme of the European Union","Belgium, France, Germany, Ireland, Italy, Spain, Switzerland, United Kingdom","English, Irish, Latin","guerrilla warfare, civil war, sibling relationship, england, underground, resistance, peace, independence, traitor, mercenary, british army, british empire, dublin, ireland, irish civil war (1922-23), historical fiction, ira (irish republican army), ireland, colonialism"
Bait,5.657,694,2012-09-05,32500000,93,False,30000000,en,Bait,20.362,"Action, Adventure, Horror, Thriller","Screen Queensland, Pictures in Paradise, Media Development Authority (MDA), Bait Productions, Blackmagic Design Films, Story Bridge Films, Screen Australia","Singapore, Australia",English,"australia, drowning, supermarket, shark attack, flooding, gore, tsunami, shark, flood"
Sleeper,6.901,694,1973-12-17,18344729,87,False,2000000,en,Sleeper,10.684,"Comedy, Science Fiction","Rollins-Joffe Productions, United Artists",United States of America,English,"future, government, revolution, dystopia, satire, control, robot, tyranny, cyrogenics, anarchic comedy"
Fanny and Alexander,7.8,693,1982-12-17,6795771,188,False,6000000,sv,Fanny och Alexander,11.207,"Fantasy, Drama, Mystery","Cinematograph AB, Svenska Filminstitutet, SVT, Gaumont, Personafilm, Tobis","Sweden, Germany, France","English, German, Swedish, Yiddish","dying and death, child abuse, sibling relationship, funeral, loss of loved one, sweden, bishop, theatre group, child prodigy, dysfunctional family, ghost, hamlet, turn of the century, christmas, 1900s, 20th century, family chronicle"
Flypaper,6.401,692,2011-08-19,3142154,87,False,5000000,en,Flypaper,12.057,"Mystery, Comedy, Crime","The Safran Company, Rising Star, Foresight Unlimited, Shifting Gears Entertainment","Germany, United States of America",English,"shootout, dead woman, bank robbery"
Marmaduke,5.275,692,2010-06-03,83761844,87,False,50000000,en,Marmaduke,18.74,"Family, Comedy","Dune Entertainment, Davis Entertainment, Regency Enterprises, 20th Century Fox",United States of America,English,"based on comic, slapstick comedy, dog, great dane, orange county, california, pets, family comedy"
Basic Instinct 2,5.072,692,2006-03-29,38629478,114,False,70000000,en,Basic Instinct 2,29.474,"Crime, Mystery, Thriller","C-2 Pictures, Intermedia Films, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG, Kanzaman Productions, Metro-Goldwyn-Mayer, Grosvenor Park Media, Summit Entertainment","Germany, Spain, United Kingdom, United States of America",English,"soho london, jacuzzi, erotic thriller, great legs"
My Best Friend's Girl,5.633,691,2008-09-19,41624687,101,False,20000000,en,My Best Friend's Girl,13.941,"Romance, Comedy","New Wave Entertainment, Lionsgate, Management 360, Terra Firma Films, Superfinger Entertainment",United States of America,English,"friendship, one-night stand, liar, blonde, strip club, insult, playboy, unfaithful boyfriend, wedding, dating, co-workers relationship, lap dance, break-up, boyfriend girlfriend relationship, surprising, duringcreditsstinger, dating woes, serial dating, office job, comedy of errors, best friends, roommates, dating scam, secrets, fake dating, in love with best friend's girl, reverse psychology, worst date"
Menace II Society,7.525,691,1993-05-26,27900000,97,False,3500000,en,Menace II Society,19.452,"Drama, Crime",New Line Cinema,United States of America,English,"drug dealer, street gang, gangster, black people, ghetto, delinquency, los angeles, california"
The Young and Prodigious T.S. Spivet,6.793,691,2013-10-16,9494789,105,False,33000000,en,The Young and Prodigious T.S. Spivet,15.229,"Adventure, Drama, Family","Epithète Films, Cross Creek Pictures, Tapioca Films","Canada, France",English,"freight train, stowaway, child prodigy, twin brother, train, boy genius, riding the rail, runaway child, brother killing brother, smithsonian, cartographer, perpetual motion machine"
Red Dawn,6.272,691,1984-08-10,38376497,114,False,17000000,en,Red Dawn,300.738,"Action, Thriller, War, Drama","Valkyrie Films, United Artists, Metro-Goldwyn-Mayer",United States of America,"English, Russian, Spanish","guerrilla warfare, future, fight, colorado, invasion, anti-communism, fighting, school shooting, red army, town"
After the Sunset,6.137,691,2004-11-12,61347797,97,False,60000000,en,After the Sunset,16.102,"Action, Comedy, Crime, Drama","New Line Cinema, Contrafilm, Firm Films, Rat Entertainment",United States of America,English,"diamond, bahamas, master thief, crook couple, heist, los angeles, california, voyeur, fbi agent"
Leprechaun,5.572,690,1993-01-08,8556940,91,False,1000000,en,Leprechaun,24.35,"Horror, Comedy, Fantasy",Trimark Pictures,United States of America,English,"daughter, kobold, kleeblatt, north dakota, leprechaun, murder, slasher"
Body Double,6.733,690,1984-10-25,8801940,114,False,10000000,en,Body Double,20.662,"Crime, Mystery, Thriller","Delphi II Productions, Columbia Pictures",United States of America,English,"police, claustrophobia, witness, film in film, murder, neighbor, los angeles, california, drill, peeping tom, porn actress, struggling actor, drilling, voyeurism, neo-noir, erotic thriller, american giallo"
The Science of Sleep,7.036,690,2006-06-25,9524340,105,False,6000000,fr,La Science des rêves,16.77,"Comedy, Drama, Fantasy","Partizan Films, Gaumont, France 3 Cinéma, TPS Star, Mikado Film, Canal+","France, Italy","English, French, Spanish","jealousy, dream, mexico, paris, france, nightmare, escape, magic, date, subconsciousness, cloud, love, travel, art, magic realism, insecure"
How to Lose Friends & Alienate People,5.978,690,2008-10-02,17286299,110,False,27000000,en,How to Lose Friends & Alienate People,10.883,"Comedy, Romance, Drama","UK Film Council, Intandem Films, Number 9 Films, Aramid Entertainment Fund, Lipsync Productions, Film4 Productions",United Kingdom,English,"new york city, journalist, failure, magazine, based on memoir or autobiography, starlet, british man, cult of celebrity, awards show, celebrity worship, workplace romance, celebrity interview, in crowd"
Major League,6.897,690,1989-02-16,75000000,107,False,11000000,en,Major League,16.021,Comedy,"Mirage Enterprises, Morgan Creek",United States of America,English,"sports, baseball, sabotage, sombrero, baseball field, hard hat, professional sports, comic strip, hot dog, short sighted, voodoo ritual, the big game"
Money Train,5.836,689,1995-11-21,77224232,110,False,68000000,en,Money Train,17.879,"Action, Comedy, Crime",Columbia Pictures,United States of America,English,"new york city, sibling relationship, subway, new york subway, train robbery"
The Flintstones in Viva Rock Vegas,4.799,689,2000-04-28,59468275,90,False,83000000,en,The Flintstones in Viva Rock Vegas,17.809,"Comedy, Family, Romance","Amblin Entertainment, Universal Pictures",United States of America,English,"marriage proposal, waitress, flirt, stone age, best friend, dinosaur"
Champions,7.549,688,2018-04-06,20121318,124,False,4920975,es,Campeones,15.339,"Drama, Comedy","Películas Pendelton, Morena Films, Movistar+, Realizaciones Sol S.A., TVE",Spain,Spanish,"sports, integration, human relationship, handicap"
Arthur,5.576,687,2011-04-08,48147945,110,False,40000000,en,Arthur,14.247,"Comedy, Romance",Warner Bros. Pictures,United States of America,English,"new york city, chauffeur, nanny, romantic comedy, playboy, remake, inheritance, billionaire, nail gun, overbearing mother, man child, drunk, duringcreditsstinger"
Sunshine Cleaning,6.583,687,2008-01-18,16174377,91,False,5000000,en,Sunshine Cleaning,12.256,"Comedy, Drama","Overture Films, Back Lot Pictures, Big Beach",United States of America,"English, Spanish","suicide, sibling relationship, single parent, cleaning lady, new mexico, family business , crime scene, woman director, cleaning service, cleaning, sister sister relationship"
Double Team,5.122,687,1997-04-04,48138337,93,False,30000000,en,Double Team,18.863,"Action, Science Fiction","Columbia Pictures, Mandalay Entertainment, Film Workshop, One Story Pictures","Hong Kong, United States of America",English,"sniper, martial arts, undercover, spy, switzerland, secret agent, arms dealer, revenge, terrorism, action hero"
The Pagemaster,6.382,687,1994-11-23,13670688,75,False,27000000,en,The Pagemaster,18.292,"Family, Fantasy, Science Fiction, Animation","20th Century Fox, Turner Pictures",United States of America,English,"rain, animated scene, bike, live action and animation"
Life,6.639,687,1999-04-16,73521587,108,False,80000000,en,Life,20.541,"Comedy, Crime","Universal Pictures, Imagine Entertainment",United States of America,English,"mississippi river, racist, bootlegging, criminal, life imprisonment, 1930s"
Paris Je T'aime,6.778,686,2006-06-21,4857367,120,False,13000000,fr,"Paris, je t'aime",13.881,"Drama, Romance","Filmazure, Pirol Stiftung, Victoires International",France,"Spanish, French, English, Mandarin, Arabic","new love, paris, france, jazz, city portrait, subway, immigration, nanny, tourist, anthology, romance, human relationship, woman director, cities of love"
Riders of Justice,7.2,686,2020-11-19,679505,116,False,5300000,da,Retfærdighedens ryttere,18.586,"Comedy, Action","Zentropa International Sweden, Film i Väst, Zentropa Entertainments","Denmark, Sweden","Arabic, Danish, Estonian","mathematics, train accident, gay interest, revenge, train, father daughter relationship, gay sub-plot"
Lords of Dogtown,7.099,685,2005-06-03,13411957,107,False,25000000,en,Lords of Dogtown,16.087,Drama,"Columbia Pictures, The Linson Company, Indelible Pictures, Senator International, TriStar Pictures","Germany, United States of America","English, Spanish","skateboarding, 1970s, success, based on true story, venice beach, california, woman director"
Rage,5.262,684,2014-05-09,2424381,98,False,15000000,en,Rage,14.145,"Action, Crime, Thriller","Vocal Yokels, Hannibal Pictures, Patriot Pictures","France, United States of America",English,"bratva (russian mafia), kidnapping, revenge, haunted by the past"
Kalifornia,6.537,683,1993-06-24,2395231,117,False,9000000,en,Kalifornia,20.239,"Thriller, Crime","Propaganda Films, Kouf/Bigelow Productions",United States of America,English,"journalist, california, trailer park, photographer, gas station, kidnapping, psychopath, journalism, motel, highway, road trip, murder, serial killer, mental illness, ex-con, hitchhike, bar, abusive relationship, brutal violence"
99 Homes,6.766,682,2015-09-25,1411927,112,False,8000000,en,99 Homes,12.223,Drama,"Noruz Films, Hyde Park Films",United States of America,English,"florida, parent child relationship, motel, finances, single father, real estate agent, life relationship, eviction, financial crisis, foreclosure, wrongful conviction, real estate, mortgage, construction worker, evicted, orlando florida"
My Blueberry Nights,6.388,682,2007-11-28,21786738,95,False,10000000,en,My Blueberry Nights,14.779,"Drama, Romance","Block 2 Pictures, Jet Tone Production, StudioCanal, Lou Yi, The Weinstein Company, China Film Group Corporation","China, France, Hong Kong, United States of America",English,"friendship, lovesickness, casino, waitress, poker, approach, night life, melancholy, road trip, loneliness, las vegas, father daughter relationship, tasty food"
